datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,48.8,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-02,42.8,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-03,39.8,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-04,38.2,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-05,35.4,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-06,36.0,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-07,37.3,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-08,44.3,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-09,42.2,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-10,39.9,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-11,38.4,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-12,39.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-13,28.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-14,29.3,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-15,28.7,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-16,32.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-17,39.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-18,39.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-19,35.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-20,39.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-21,38.8,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-22,37.8,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-23,40.4,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-24,40.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-25,36.3,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-26,36.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-27,33.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-28,30.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-29,29.2,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-30,28.5,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-10-31,28.5,,~,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-01,48.3,,*,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-02,51.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-03,44.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-04,46.9,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-05,45.4,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-06,45.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-07,53.9,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-08,48.8,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-09,43.1,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-10,40.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-11,34.1,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-12,30.8,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-13,31.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-14,30.2,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-15,29.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-16,30.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-17,28.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-18,27.5,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-19,25.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-20,27.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-21,28.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-22,29.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-23,31.2,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-24,31.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-25,30.2,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-26,34.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-27,32.1,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-28,29.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-29,30.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-11-30,30.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-01,35.0,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-02,29.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-03,30.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-04,29.3,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-05,32.6,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-06,30.4,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-07,29.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-08,28.7,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
1999-12-09,34.4,, ,96.0,40.006534,-105.330525,"BOULDER CREEK NEAR ORODELL, CO.",BOCOROCO
