datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,43.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-02,40.1,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-03,36.5,,*,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-04,34.5,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-05,33.1,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-06,32.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-07,37.1,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-08,39.9,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-09,34.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-10,31.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-11,30.4,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-12,29.0,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-13,27.9,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-14,26.8,, ,94.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-15,26.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-16,29.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-17,24.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-18,33.6,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-19,31.2,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-20,31.1,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-21,29.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-22,28.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-23,27.4,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-24,26.4,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-25,26.2,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-26,26.6,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-27,25.6,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-28,25.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-29,25.5,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-30,22.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-10-31,25.5,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-01,25.4,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-02,20.2,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-03,23.4,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-04,21.2,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-05,20.7,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-06,20.0,,*,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-07,18.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-08,20.1,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-09,20.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-10,19.3,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-11,18.5,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-12,17.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-13,18.0,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-14,17.2,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-15,16.6,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-16,17.2,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-17,18.0,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-18,18.0,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-19,12.5,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-20,16.9,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-21,16.6,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-22,14.1,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-23,13.8,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-24,11.6,, ,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
1999-11-25,12.3,,*,96.0,40.378325,-105.513894,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO
