datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,24.0,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-02,22.1,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-03,20.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-04,19.4,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-05,18.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-06,18.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-07,18.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-08,18.4,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-09,17.6,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-10,16.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-11,16.6,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-12,16.6,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-13,15.1,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-14,14.4,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-15,14.4,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-16,16.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-17,17.4,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-18,18.8,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-19,16.7,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-20,17.2,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-21,17.4,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-22,16.6,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-23,15.9,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-24,15.3,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-25,14.8,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-26,14.3,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-27,14.2,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-28,15.2,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-29,15.3,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-30,14.2,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-10-31,15.2,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-11-01,14.6,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-11-02,15.1,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-11-03,15.9,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
1999-11-04,13.8,, ,96.0,40.433608,-105.345847,"NORTH FORK BIG THOMPSON RIVER AT DRAKE, CO.",BTNFDRCO
