datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,7.14,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-02,7.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-03,7.34,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-04,7.45,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-05,8.78,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-06,9.34,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-07,10.5,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-08,11.7,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-09,11.8,, ,87.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-10,11.8,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-11,11.8,, ,95.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-12,12.0,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-13,12.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-14,12.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-15,12.5,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-16,12.6,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-17,12.7,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-18,13.9,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-19,15.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-20,27.0,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-21,42.2,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-22,42.2,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-23,42.2,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-24,42.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-25,42.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-26,42.4,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-27,42.5,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-28,42.7,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-29,43.2,, ,96.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-30,43.0,, ,53.0,39.634774,-107.732604,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,ERIRGRCO
1999-10-31,,,,,,,,
1999-11-01,,,,,,,,
1999-11-02,,,,,,,,
1999-11-03,,,,,,,,
1999-11-04,,,,,,,,
1999-11-05,,,,,,,,
1999-11-06,,,,,,,,
1999-11-07,,,,,,,,
1999-11-08,,,,,,,,
1999-11-09,,,,,,,,
1999-11-10,,,,,,,,
1999-11-11,,,,,,,,
1999-11-12,,,,,,,,
1999-11-13,,,,,,,,
1999-11-14,,,,,,,,
1999-11-15,,,,,,,,
1999-11-16,,,,,,,,
1999-11-17,,,,,,,,
1999-11-18,,,,,,,,
1999-11-19,,,,,,,,
1999-11-20,,,,,,,,
1999-11-21,,,,,,,,
1999-11-22,,,,,,,,
1999-11-23,,,,,,,,
1999-11-24,,,,,,,,
1999-11-25,,,,,,,,
1999-11-26,,,,,,,,
1999-11-27,,,,,,,,
1999-11-28,,,,,,,,
1999-11-29,,,,,,,,
1999-11-30,,,,,,,,
1999-12-01,,,,,,,,
1999-12-02,,,,,,,,
1999-12-03,,,,,,,,
1999-12-04,,,,,,,,
1999-12-05,,,,,,,,
1999-12-06,,,,,,,,
1999-12-07,,,,,,,,
1999-12-08,,,,,,,,
1999-12-09,,,,,,,,
1999-12-10,,,,,,,,
1999-12-11,,,,,,,,
