datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
2001-05-14,3.96,,,70.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-15,72.6,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-16,165.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-17,163.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-18,146.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-19,125.0,,*,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-20,134.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-21,116.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-22,90.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-23,93.1,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-24,100.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-25,99.2,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-26,102.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-27,98.6,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
2001-05-28,115.0,,,96.0,39.342772,-106.66588,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",FRYNFNCO
