datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,2.33,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-02,2.31,,*,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-03,2.14,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-04,1.87,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-05,1.67,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-06,1.16,, ,94.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-07,1.41,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-08,1.87,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-09,1.93,, ,94.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-10,1.9,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-11,1.77,, ,95.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-12,1.72,,*,79.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-13,1.56,,*,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-14,1.26,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-15,1.16,, ,77.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-16,1.2,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-17,1.24,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-18,1.37,, ,94.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-19,1.52,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-20,1.5,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-21,1.45,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-22,1.24,,*,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-23,1.53,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-24,1.66,, ,95.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-25,1.38,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-26,1.62,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-27,1.76,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-28,1.68,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-29,1.4,, ,94.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-30,1.27,, ,92.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-10-31,1.36,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-01,1.38,, ,95.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-02,1.68,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-03,1.76,,*,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-04,1.79,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-05,1.86,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-06,1.92,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-07,1.99,,*,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-08,2.15,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-09,2.02,, ,93.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-10,1.95,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-11,2.09,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-12,2.14,, ,95.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-13,2.21,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-14,2.08,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-15,2.02,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-16,1.78,, ,94.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-17,1.62,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-18,1.61,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
1999-11-19,1.58,, ,96.0,37.176954,-108.136699,HAY GULCH ABOVE RED MESA RESERVOIR,HAYREDCO
