datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,5.52,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-02,5.47,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-03,5.46,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-04,5.53,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-05,5.53,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-06,5.54,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-07,5.53,, ,37.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-08,,,,,,,,
1999-10-09,,,,,,,,
1999-10-10,,,,,,,,
1999-10-11,5.29,, ,75.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-12,5.2,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-13,5.2,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-14,5.11,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-15,5.19,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-16,5.2,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-17,5.17,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-18,5.19,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-19,5.3,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-20,5.4,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-21,5.41,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-22,5.46,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-23,5.42,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-24,5.53,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-25,5.34,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-26,5.33,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-27,5.38,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-28,5.38,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-29,5.43,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-30,5.42,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-10-31,5.69,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-01,5.71,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-02,5.73,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-03,5.82,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-04,5.74,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-05,5.58,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-06,5.57,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-07,5.54,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-08,5.48,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-09,5.48,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-10,5.53,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-11,5.62,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-12,5.6,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-13,5.65,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-14,5.83,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-15,5.8,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-16,5.87,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-17,5.98,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-18,5.99,, ,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-19,5.88,, ,17.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-20,,,,,,,,
1999-11-21,,,,,,,,
1999-11-22,6.17,, ,48.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-23,5.86,, ,46.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-24,5.88,, ,1.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-11-25,,,,,,,,
1999-11-26,,,,,,,,
1999-11-27,,,,,,,,
1999-11-28,,,,,,,,
1999-11-29,,,,,,,,
1999-11-30,,,,,,,,
1999-12-01,,,,,,,,
1999-12-02,,,,,,,,
1999-12-03,,,,,,,,
1999-12-04,,,,,,,,
1999-12-05,,,,,,,,
1999-12-06,,,,,,,,
1999-12-07,,,,,,,,
1999-12-08,,,,,,,,
1999-12-09,,,,,,,,
1999-12-10,,,,,,,,
1999-12-11,,,,,,,,
1999-12-12,,,,,,,,
1999-12-13,9.59,, ,79.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-12-14,10.4,, ,49.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-12-15,,,,,,,,
1999-12-16,,,,,,,,
1999-12-17,,,,,,,,
1999-12-18,,,,,,,,
1999-12-19,,,,,,,,
1999-12-20,,,,,,,,
1999-12-21,,,,,,,,
1999-12-22,,,,,,,,
1999-12-23,16.3,, ,64.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
1999-12-24,,,,,,,,
1999-12-25,,,,,,,,
1999-12-26,,,,,,,,
1999-12-27,,,,,,,,
1999-12-28,,,,,,,,
1999-12-29,,,,,,,,
1999-12-30,,,,,,,,
1999-12-31,,,,,,,,
2000-01-01,,,,,,,,
2000-01-02,,,,,,,,
2000-01-03,,,,,,,,
2000-01-04,,,,,,,,
2000-01-05,,,,,,,,
2000-01-06,,,,,,,,
2000-01-07,,,,,,,,
2000-01-08,,,,,,,,
2000-01-09,,,,,,,,
2000-01-10,,,,,,,,
2000-01-11,,,,,,,,
2000-01-12,,,,,,,,
2000-01-13,,,,,,,,
2000-01-14,,,,,,,,
2000-01-15,5.77,,,20.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-01-16,,,,,,,,
2000-01-17,5.64,,,30.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-01-18,4.43,,,18.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-01-19,,,,,,,,
2000-01-20,,,,,,,,
2000-01-21,,,,,,,,
2000-01-22,,,,,,,,
2000-01-23,,,,,,,,
2000-01-24,,,,,,,,
2000-01-25,,,,,,,,
2000-01-26,,,,,,,,
2000-01-27,,,,,,,,
2000-01-28,,,,,,,,
2000-01-29,,,,,,,,
2000-01-30,,,,,,,,
2000-01-31,,,,,,,,
2000-02-01,,,,,,,,
2000-02-02,,,,,,,,
2000-02-03,,,,,,,,
2000-02-04,,,,,,,,
2000-02-05,,,,,,,,
2000-02-06,,,,,,,,
2000-02-07,,,,,,,,
2000-02-08,,,,,,,,
2000-02-09,,,,,,,,
2000-02-10,,,,,,,,
2000-02-11,,,,,,,,
2000-02-12,,,,,,,,
2000-02-13,,,,,,,,
2000-02-14,,,,,,,,
2000-02-15,,,,,,,,
2000-02-16,,,,,,,,
2000-02-17,,,,,,,,
2000-02-18,,,,,,,,
2000-02-19,,,,,,,,
2000-02-20,,,,,,,,
2000-02-21,,,,,,,,
2000-02-22,,,,,,,,
2000-02-23,,,,,,,,
2000-02-24,6.06,,,63.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-02-25,5.97,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-02-26,5.83,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-02-27,6.01,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-02-28,5.97,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-02-29,5.97,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-01,5.89,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-02,5.88,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-03,5.79,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-04,5.59,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-05,6.03,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-06,6.47,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-07,8.13,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-08,8.07,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-09,9.1,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-10,8.61,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-11,8.23,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-12,8.16,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-13,8.01,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-14,8.24,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-15,8.88,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-16,8.62,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-17,8.31,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-18,8.0,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-19,7.92,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-20,8.64,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-21,9.85,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-22,10.8,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-23,11.0,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-24,12.2,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-25,13.1,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-26,10.6,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-27,10.5,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-28,11.2,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-29,10.7,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-30,10.4,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-03-31,12.4,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-01,13.2,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-02,12.8,,,92.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-03,15.0,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-04,20.0,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-05,17.6,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-06,13.9,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-07,12.0,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
2000-04-08,10.7,,,96.0,37.057262,-108.177136,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO
