datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,69.7,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-02,68.9,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-03,67.9,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-04,67.0,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-05,67.2,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-06,68.4,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-07,74.9,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-08,78.5,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-09,69.8,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-10,66.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-11,63.9,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-12,62.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-13,60.6,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-14,60.1,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-15,59.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-16,58.9,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-17,57.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-18,57.8,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-19,60.0,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-20,58.5,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-21,58.5,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-22,58.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-23,59.2,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-24,58.8,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-25,58.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-26,59.0,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-27,58.3,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-28,59.0,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-29,59.2,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-30,55.5,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-10-31,54.5,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-11-01,58.6,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-11-02,56.1,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-11-03,51.1,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-11-04,50.9,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-11-05,52.8,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
1999-11-06,52.4,, ,96.0,38.163444,-106.290661,"SAGUACHE CREEK NEAR SAGUACHE, CO",SAGSAGCO
