datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,8.06,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-02,7.91,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-03,7.81,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-04,7.71,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-05,7.58,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-06,7.52,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-07,7.96,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-08,7.94,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-09,7.77,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-10,7.58,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-11,7.39,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-12,7.28,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-13,7.19,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-14,7.15,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-15,7.13,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-16,7.37,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-17,7.87,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-18,8.11,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-19,8.06,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-20,8.02,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-21,8.01,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-22,7.93,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-23,7.84,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-24,7.66,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-25,5.76,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
1999-10-26,5.46,, ,96.0,38.034342,-105.71813,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO
