datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-11-18,21.3,,e,41.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-19,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-20,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-21,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-22,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-23,78.9,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-24,442.0,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-25,329.0,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-26,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-27,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-28,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-29,21.3,,e,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-11-30,23.6,,*,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-01,24.5,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-02,21.1,,*,81.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-03,18.6,, ,94.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-04,18.1,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-05,22.4,,*,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-06,19.3,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-07,18.3,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-08,19.8,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-09,22.6,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-10,22.3,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-11,23.0,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-12,21.9,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-13,23.2,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-14,21.4,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-15,18.7,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-16,18.3,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-17,20.5,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-18,19.9,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-19,18.8,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-20,19.2,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-21,20.5,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-22,21.2,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-23,21.1,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-24,24.3,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
1999-12-25,23.0,, ,96.0,39.20893,-106.98046,SNOWMASS CREEK,SNOCRECO
