datetime,Q_cfs,flagA,flagB,measCount,lat,lon,name,gage
1999-10-01,2.5,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-02,2.41,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-03,2.36,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-04,2.32,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-05,2.29,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-06,2.29,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-07,2.46,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-08,2.45,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-09,2.5,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-10,2.46,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-11,2.29,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-12,2.2,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-13,2.25,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-14,2.28,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-15,2.33,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-16,2.5,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-17,2.52,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-18,2.63,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-19,2.6,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-20,2.51,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-21,2.45,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-22,2.39,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-23,2.31,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-24,2.27,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-25,1.77,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-26,1.65,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-27,1.64,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-28,1.58,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-29,1.58,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-30,1.46,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-10-31,1.55,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-01,1.49,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-02,1.41,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-03,1.35,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-04,1.31,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-05,1.29,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-06,1.25,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-07,1.21,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-08,1.2,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-09,1.2,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-10,1.14,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-11,1.16,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-12,1.17,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-13,1.17,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-14,1.16,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-15,1.15,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-16,1.12,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-17,1.12,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-18,1.09,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-19,0.97,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-20,1.11,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-21,1.02,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-22,1.0,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-23,0.88,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-24,0.97,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-25,0.7,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-26,0.7,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-27,0.7,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-28,0.7,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-29,0.7,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-11-30,0.75,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-12-01,0.86,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-12-02,0.83,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-12-03,0.82,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-12-04,0.86,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
1999-12-05,0.92,, ,96.0,37.952719,-105.661811,SPANISH CREEK NEAR CRESTONE,SPACRECO
