shortID,siteID,basin,state,siteName,siteUse,destinationCode,destinationFlag,dataSource,usbrID,usgsID,cdssID,wyseoID,utdwrID,nmoseID,historicalRecord,decLat,decLong,dest_decLat,dest_decLong,notes,startDate,endDate,no_fill_years
1,div_0001_irrigation,cms,co,cms_co_a_b_coats_ditch,irrigation,102,,CDSS,,,2800719,,,,,38.446497,-106.646579,,,,,,
2,div_0002_irrigation,cms,co,cms_co_a_c_jarvis_no_1_ditch,irrigation,100,,CDSS,,,5900500,,,,,38.91135,-106.928359,,,,,,
3,div_0003_irrigation,cms,co,cms_co_acme_ditch,irrigation,101,,CDSS,,,5900501,,,,,38.769473,-107.077461,,,,,,
4,div_0004_irrigation,cms,co,cms_co_adams_no_1_ditch,irrigation,102;105,,CDSS,,,2800500,,,,,38.538421,-106.905554,,,,,,
5,div_0005_irrigation,cms,co,cms_co_adams_no_2_ditch,irrigation,102;105,,CDSS,,,2800501,,,,,38.53524,-106.910553,,,,,,
6,div_0006_irrigation,cms,co,cms_co_adobe_ditch,irrigation,111,,CDSS,,,4001425,,,,,38.668117,-108.105146,,,,,,
7,div_0007_irrigation,cms,co,cms_co_alber_ditch,irrigation,75,,CDSS,,,3600507,,,,,39.782148,-106.170772,,,,,,
8,div_0008_irrigation,cms,co,cms_co_alexander_ditch,irrigation,115,,CDSS,,,6000507,,,,,37.883892,-107.961715,,,,,,
9,div_0009_irrigation,cms,co,cms_co_alexis_arbaney_ditch,irrigation,93,,CDSS,,,3801121,,,,,39.329249,-106.985649,,,,,,
10,div_0010_intrabasin,cms,co,cms_co_alfalfa_ditch,intrabasin,1730,,CDSS,,,4000751,,,,,38.891272,-107.923585,38.84082,-107.935681,Feeds Fruit Growers Reservoir. Water is also applied to irrigated lands along the canal's path. Water stored in the reservoir is also applied to irrigated lands,,,
11,div_0011_irrigation,cms,co,cms_co_alfred_ditch,irrigation,105,,CDSS,,,5900505,,,,,38.502844,-107.120483,,,,,,
12,div_0012_irrigation,cms,co,cms_co_alkali_ditch,irrigation,129,,CDSS,,,2800505,,,,,38.288348,-106.777344,,,,,,
13,div_0013_irrigation,cms,co,cms_co_alkali_ditch_d_no_80,irrigation,109,,CDSS,,,6800501,,,,,38.1628,-107.648226,,,,,,
14,div_0014_irrigation,cms,co,cms_co_alkali_no_2_ditch,irrigation,109,,CDSS,,,6800502,,,,,38.181241,-107.658345,,,,,,
15,div_0015_irrigation,cms,co,cms_co_alum_gulch_ditch,irrigation,107,,CDSS,,,4000506,,,,,38.737061,-107.708021,,,,,,
16,div_0016_irrigation,cms,co,cms_co_amended_laura_ditch,irrigation,114,,CDSS,,,6100512,,,,,38.332191,-108.900748,,,,,,
17,div_0017_hydropower,cms,co,cms_co_ames_ilium_hydro_proj,hydropower,2302,,CDSS,,,6000511,,,,,37.828516,-107.887333,37.864477,-107.881812,"unclear where actual POD is, but documents on CDSS page indicate water is sourced from Trout Lake. Coordinates near Trout Lake dam used as POD estimate",,,
18,div_0018_irrigation,cms,co,cms_co_andrews_ditch,irrigation,105,,CDSS,,,6200506,,,,,38.26721,-107.082121,,,,,,
19,div_0019_irrigation,cms,co,cms_co_anna_no_1_ditch,irrigation,102,,CDSS,,,2800507,,,,,38.361854,-106.669438,,,,,,
20,div_0020_irrigation,cms,co,cms_co_anna_rozman_ditch,irrigation,100,,CDSS,,,5900510,,,,,38.83915,-106.943552,,,,,,
21,div_0021_irrigation,cms,co,cms_co_april_ditch,irrigation,105,,CDSS,,,5900512,,,,,38.527799,-106.956745,,,,,,
22,div_0022_irrigation,cms,co,cms_co_arbogast_pumping_plant,irrigation,112,,CDSS,,,7201072,,,,,39.157946,-108.781152,,,,,,
23,div_0023_irrigation,cms,co,cms_co_arch_irrigating_ditch,irrigation,102,,CDSS,,,2800510,,,,,38.414652,-106.526727,,,,,,
24,div_0024_irrigation,cms,co,cms_co_arkansas_ditch,irrigation,131,,CDSS,,,7200514,,,,,39.105444,-108.155444,,,,,,
25,div_0025_irrigation,cms,co,cms_co_aspen_canal,irrigation,107,,CDSS,,,4000509,,,,,38.700742,-107.619534,,,,,,
26,div_0026_irrigation,cms,co,cms_co_aspen_ditch,irrigation,107,,CDSS,,,4000508,,,,,38.691723,-107.606249,,,,,,
27,div_0027_irrigation,cms,co,cms_co_atkinson_ditch,irrigation,93,,CDSS,,,3800516,,,,,39.462361,-107.324201,,,,,,
28,div_0028_irrigation,cms,co,cms_co_bartholomew_and_hatch_d,irrigation,117,,CDSS,,,6300501,,,,,38.685258,-108.966919,,,,,,
29,div_0029_irrigation,cms,co,cms_co_basin_ditch,irrigation,93,,CDSS,,,3800528,,,,,39.399821,-107.119928,,,,,,
30,div_0030_irrigation,cms,co,cms_co_battlement_ditch,irrigation,98,,CDSS,,,4500514,,,,,39.436068,-107.978424,,,,,,
31,div_0031_irrigation,cms,co,cms_co_bear_creek_ditch,irrigation,113,,CDSS,,,7100504,,,,,37.567807,-108.185575,,,,,,
32,div_0032_irrigation,cms,co,cms_co_beaver_mesa_ditch,irrigation,116,,CDSS,,,6000521,,,,,37.942823,-108.133554,,,,,,
33,div_0033_irrigation,cms,co,cms_co_becker_no_3_ditch,irrigation,122,,CDSS,,,5000517,,,,,40.119357,-106.286271,,,,,,
34,div_0034_irrigation,cms,co,cms_co_bennett_no_2_ditch,irrigation,102,,CDSS,,,2800514,,,,,38.443282,-106.600926,,,,,,
